workload,scheduler,avg_waiting_time_mean,avg_waiting_time_std,deadline_miss_rate_mean,deadline_miss_rate_std,throughput_mean,throughput_std
bursty,DQN,5434.912499999999,81.24427033797498,0.9971666666666668,0.0005773502691895862,0.15473547077713448,0.0014082212048535023
bursty,EDF,5434.590499999999,83.04311268702526,0.997,0.0,0.15473547077713448,0.0014082212048535023
bursty,FCFS,5447.866,83.35126195955276,0.9978333333333333,0.0002886751345947811,0.15473547077713448,0.0014082212048535023
bursty,RR,7323.8115,167.10426447879743,0.9895,0.007000000000000006,0.15473547077713448,0.0014082212048535023
bursty,SJF,3569.813166666667,87.85595553850239,0.7043333333333334,0.013549292724468465,0.15473547077713448,0.0014082212048535023
deadline_constrained,DQN,3946.116,75.54793177678647,0.9975,0.003041381265149181,0.1822499144488652,0.001335589336189922
deadline_constrained,EDF,3943.2816666666663,74.6721819293057,0.9980000000000001,0.0004999999999999727,0.1822499144488652,0.001335589336189922
deadline_constrained,FCFS,3949.559333333333,74.84325255547981,0.9988333333333334,0.0002886751345947811,0.1822499144488652,0.001335589336189922
deadline_constrained,RR,5446.000333333333,90.80910355979398,0.9946666666666667,0.002753785273643022,0.1822499144488652,0.001335589336189922
deadline_constrained,SJF,2531.6103333333335,47.92405722685982,0.6513333333333333,0.0020207259421636875,0.1822499144488652,0.001335589336189922
heavy_tailed,DQN,1926.8796666666667,128.45598777142825,0.9895,0.003041381265149085,0.2640446969668772,0.004046098123511393
heavy_tailed,EDF,1926.734333333333,126.20281840388253,0.9901666666666666,0.0010408329997330607,0.2640446969668772,0.004046098123511393
heavy_tailed,FCFS,1933.406,126.74171681908852,0.9933333333333333,0.00236290781312628,0.2640446969668772,0.004046098123511393
heavy_tailed,RR,1958.173,95.51963639351864,0.9601666666666667,0.008431093246627757,0.2640446969668772,0.004046098123511393
heavy_tailed,SJF,787.1513333333334,39.261062091891205,0.33516666666666667,0.005131601439446881,0.2640446969668772,0.004046098123511393
uniform,DQN,3121.0251666666663,135.7910592871759,0.9931666666666668,0.002309401076758497,0.18358382494284073,0.0022884637282683086
uniform,EDF,3117.131833333333,136.9421091194498,0.9946666666666667,0.0031754264805429764,0.18358382494284073,0.0022884637282683086
uniform,FCFS,3121.046166666667,137.01437901761727,0.9951666666666666,0.0031754264805428645,0.18358382494284073,0.0022884637282683086
uniform,RR,4383.053,232.8116513133523,0.9878333333333332,0.0016072751268321405,0.18358382494284073,0.0022884637282683086
uniform,SJF,1899.7085,111.61325532502855,0.4776666666666667,0.018803811670332515,0.18358382494284073,0.0022884637282683086
